Time,TOTALAccumulative
7:00:00,293
7:04:48,300
7:09:36,357
7:14:24,307
7:19:12,391
7:24:00,319
7:28:48,355
7:33:36,345
7:38:24,344
7:43:12,446
7:48:00,321
7:52:48,286
7:57:36,651
8:00:24,660
8:05:12,700
8:10:00,459
8:14:48,263
8:19:36,251
8:24:24,208
8:29:12,230
8:34:00,252
8:38:48,314
8:43:36,390
8:48:24,336
8:53:12,13
9:00:00,278
9:05:00,295
9:10:00,383
9:15:00,297
9:20:00,228
9:25:00,203
9:30:00,267
9:35:00,231
9:40:00,333
9:45:00,342
9:50:00,378
9:55:00,340
10:00:00,360
10:05:00,316
10:10:00,346
10:15:00,333
10:20:00,314
10:25:00,295
10:30:00,255
10:35:00,321
10:40:00,377
10:45:00,381
10:50:00,375
10:55:00,382
11:00:00,328
11:05:00,302
11:10:00,275
11:15:00,336
11:20:00,239
11:25:00,249
11:30:00,319
11:35:00,243
11:40:00,219
11:45:00,267
11:50:00,275
11:55:00,240
12:00:00,206
12:05:00,210
12:10:00,205
12:15:00,226
12:20:00,206
12:25:00,181
12:30:00,183
12:35:00,231
12:40:00,208
12:45:00,163
12:50:00,144
12:55:00,165
13:00:00,188
13:05:00,142
13:10:00,145
13:15:00,165
13:20:00,201
13:25:00,178
13:30:00,173
13:35:00,192
13:40:00,187
13:45:00,175
13:50:00,198
13:55:00,235
14:00:00,187
14:05:00,193
14:10:00,219
14:15:00,165
14:20:00,236
14:25:00,210
14:30:00,202
14:35:00,246
14:40:00,205
14:45:00,228
14:50:00,227
14:55:00,217
15:00:00,254
15:04:48,215
15:09:36,278
15:14:24,227
15:19:12,291
15:24:00,230
15:28:48,160
15:33:36,162
15:38:24,222
15:43:12,186
15:48:00,164
15:52:48,219
15:57:36,185
16:00:24,189
16:05:12,200
16:10:00,164
16:14:48,100
16:19:36,112
16:24:24,92
16:29:12,202
16:34:00,177
16:38:48,169
16:43:36,104
16:48:24,190
16:53:12,7
