,timeSeconds,frameNum,blobCount,trackCount,car,carAccumulative,truck,truckAccumulative,person,personAccumulative,bus,busAccumulative,TOTAL,TOTALAccumulative,motorbike,motorbikeAccumulative,Time
0,310,3720,2,2,1,57,1,41,0,26,0.0,2.0,2,126,,,7:0:0
1,310,3720,2,2,1,44,1,113,0,17,,,2,175,0.0,1.0,7:5:15
2,310,3720,1,1,0,53,1,32,0,28,0.0,1.0,1,114,,,7:10:31
3,310,3720,2,2,1,35,1,16,0,34,0.0,2.0,2,87,,,7:15:47
4,310,3720,4,4,1,41,3,23,0,47,0.0,2.0,4,114,0.0,1.0,7:21:3
5,310,3720,2,2,2,119,0,23,0,34,0.0,1.0,2,177,,,7:26:18
6,310,3720,3,3,1,74,2,141,0,30,0.0,1.0,3,246,,,7:31:34
7,310,3720,3,3,1,61,2,142,0,31,,,3,235,0.0,1.0,7:36:50
8,310,3720,3,3,3,66,0,76,0,38,0.0,1.0,3,181,,,7:42:6
9,310,3720,3,3,0,66,3,56,0,14,0.0,4.0,3,140,,,7:47:22
10,310,3720,5,5,5,66,0,26,0,21,0.0,4.0,5,117,,,7:52:37
11,310,3720,3,3,2,244,1,20,0,24,0.0,5.0,3,295,0.0,2.0,7:57:53
12,310,3720,2,2,0,134,2,58,0,14,0.0,3.0,2,221,0.0,12.0,8:0:9
13,310,3720,4,4,2,132,1,58,0,33,1.0,7.0,4,237,0.0,7.0,8:5:25
14,310,3720,2,2,2,113,0,17,0,23,0.0,7.0,2,162,0.0,2.0,8:10:41
15,310,3720,2,2,1,180,0,24,1,14,0.0,1.0,2,225,0.0,6.0,8:15:56
16,310,3720,1,1,1,127,0,17,0,28,0.0,1.0,1,175,0.0,2.0,8:21:12
17,310,3720,2,2,2,94,0,18,0,35,,,2,150,0.0,3.0,8:26:28
18,310,3720,5,5,5,67,0,21,0,15,0.0,3.0,5,123,0.0,17.0,8:31:44
19,310,3720,4,4,3,121,1,48,0,25,0.0,5.0,4,212,0.0,13.0,8:36:59
20,310,3720,4,4,3,124,1,39,0,24,0.0,6.0,4,203,0.0,10.0,8:42:15
21,310,3720,3,3,3,130,0,12,0,44,0.0,5.0,3,204,0.0,13.0,8:47:31
22,310,3720,4,4,3,109,1,55,0,21,0.0,5.0,4,196,0.0,6.0,8:52:47
23,310,3720,8,8,5,133,2,54,1,26,0.0,4.0,8,222,0.0,5.0,8:58:3
24,310,3720,5,5,4,186,1,34,0,31,0.0,5.0,5,263,0.0,7.0,9:0:18
25,310,3720,5,5,4,115,1,65,0,56,0.0,5.0,5,258,0.0,17.0,9:5:34
26,310,3720,1,1,1,117,0,23,0,52,0.0,8.0,1,218,0.0,18.0,9:10:50
27,310,3720,5,5,5,86,0,24,0,50,0.0,7.0,5,179,0.0,12.0,9:16:6
28,310,3720,5,5,5,150,0,106,0,70,0.0,1.0,5,359,0.0,32.0,9:21:22
29,310,3720,5,5,3,139,1,38,1,56,0.0,7.0,5,253,0.0,13.0,9:26:37
30,310,3720,4,4,2,129,1,48,1,73,0.0,4.0,4,277,0.0,23.0,9:31:53
31,310,3720,6,6,3,173,3,60,0,79,0.0,8.0,6,353,0.0,33.0,9:37:9
32,310,3720,7,7,7,188,0,52,0,103,0.0,6.0,7,378,0.0,29.0,9:42:25
33,310,3720,6,6,2,133,3,60,1,59,0.0,6.0,6,277,0.0,19.0,9:47:41
34,310,3720,5,5,4,155,1,47,0,72,0.0,8.0,5,312,0.0,30.0,9:52:56
35,310,3720,6,6,4,110,2,60,0,45,0.0,4.0,6,235,0.0,16.0,9:58:12
