Time,carAccumulative,truckAccumulative,busAccumulative,motorbikeAccumulative
7:00:00,80,17,4,
7:05:15,100,28,2,
7:10:31,97,38,4,
7:15:47,62,35,7,
7:21:03,73,44,2,
7:26:18,68,32,1,
7:31:34,64,16,,
7:36:50,100,33,4,2
7:42:06,116,38,3,3
7:47:22,135,82,6,6
7:52:37,224,27,7,10
7:57:53,143,61,6,8
8:00:09,181,28,5,3
8:05:25,152,33,8,5
8:10:41,146,57,4,4
8:15:56,115,31,7,15
8:21:12,119,30,6,6
8:26:28,145,34,4,1
8:31:44,82,51,,
8:36:59,109,41,,
8:42:15,91,40,1,1
8:47:31,63,28,2,2
8:52:47,103,24,3,
8:58:03,131,54,2,3
9:00:18,120,60,8,1
9:05:34,84,87,,
9:10:50,96,63,1,
9:16:06,157,22,1,5
9:21:22,115,22,4,2
9:26:37,81,45,3,3
9:31:53,127,23,4,
9:37:09,169,52,2,3
9:42:25,109,76,1,1
9:47:41,117,70,4,1
9:52:56,136,36,4,2
9:58:12,108,99,,2
10:00:28,168,86,4,1
10:05:44,138,111,4,1
10:10:59,137,58,6,16
10:16:15,112,66,3,1
10:21:31,125,48,8,4
10:26:47,144,21,1,1
10:32:03,127,30,3,3
10:37:18,131,34,7,
10:42:34,128,44,3,1
10:47:50,111,103,11,2
10:53:06,87,68,11,
10:58:22,95,78,4,
11:00:37,55,37,3,17
11:05:53,33,20,3,13
11:11:09,47,31,4,19
11:16:25,74,20,2,31
11:21:41,50,15,2,22
11:26:56,34,13,5,14
11:32:12,52,17,5,6
11:37:28,47,33,3,12
11:42:44,19,21,2,6
12:00:00,50,21,5,20
12:05:10,82,18,3,10
12:10:20,77,25,6,13
12:15:31,69,31,2,6
12:20:41,62,40,7,9
12:25:51,110,44,1,3
12:31:02,72,36,1,1
12:36:12,64,25,6,22
12:41:22,54,37,2,6
12:46:33,43,16,4,13
12:51:43,36,13,2,3
12:56:53,41,27,3,1
13:00:04,39,14,1,3
13:05:14,71,30,6,2
13:10:24,51,18,1,1
13:15:35,65,18,1,1
13:20:45,58,4,4,1
13:25:55,48,13,3,2
13:31:06,73,29,2,2
13:36:16,130,15,2,4
13:41:26,126,24,3,7
13:46:37,101,31,3,3
13:51:47,72,15,3,3
13:56:57,105,19,5,1
14:00:08,151,16,10,2
14:05:18,166,42,1,
14:10:28,165,36,4,
14:15:39,117,15,2,
14:20:49,174,28,3,
14:26:00,154,33,4,2
14:31:10,213,31,2,1
14:36:20,160,19,8,
14:41:31,125,24,7,
14:46:41,178,17,2,1
14:51:51,165,32,3,
14:57:02,108,26,4,
15:00:12,182,15,3,
15:05:22,127,24,1,
15:10:33,122,22,,
15:15:43,153,25,1,
15:20:53,170,20,,
15:26:04,133,30,,
15:31:14,125,21,1,
15:36:24,150,23,1,
15:41:35,139,23,,
15:46:45,111,18,3,
15:51:55,115,8,1,
15:57:06,84,11,1,
16:00:16,149,2,,
16:05:26,96,32,3,
16:10:37,126,9,3,
16:15:47,170,10,,
16:20:57,158,4,1,
16:26:08,77,4,6,
16:31:18,53,4,1,
16:36:28,17,1,,
16:41:39,50,7,1,
16:46:49,67,7,2,
,car,truck,bus,motorbike
,12181,3713,369,402
