,timeSeconds,frameNum,blobCount,trackCount,Unnamed: 4,Accumulative,TOTAL,TOTALAccumulative,Time
0,325,3575,1,1,1,27,1,27,7:0:0
1,325,3575,0,0,0,37,0,37,7:5:0
2,325,3575,0,0,0,28,0,28,7:10:0
3,325,3575,0,0,0,39,0,39,7:15:0
4,325,3575,0,0,0,52,0,52,7:20:0
5,325,3575,1,1,1,33,1,33,7:25:0
6,325,3575,0,0,0,46,0,46,7:30:0
7,325,3575,0,0,0,29,0,29,7:35:0
8,325,3575,0,0,0,44,0,44,7:40:0
9,325,3575,0,0,0,29,0,29,7:45:0
10,325,3575,0,0,0,31,0,31,7:50:0
11,325,3575,0,0,0,65,0,65,7:55:0
12,325,3575,3,3,3,62,3,62,8:0:0
13,325,3575,1,1,1,111,1,111,8:5:0
14,325,3575,2,2,2,157,2,157,8:10:0
15,325,3575,2,2,2,169,2,169,8:15:0
16,325,3575,1,1,1,129,1,129,8:20:0
17,325,3575,0,0,0,84,0,84,8:25:0
18,325,3575,5,5,5,104,5,104,8:30:0
19,325,3575,5,5,5,139,5,139,8:35:0
20,325,3575,7,7,7,119,7,119,8:40:0
21,325,3575,9,9,9,119,9,119,8:45:0
22,325,3575,9,9,9,150,9,150,8:50:0
23,320,3528,9,9,9,123,9,123,8:55:0
24,324,3574,9,9,9,197,9,197,9:0:0
25,324,3574,4,4,4,131,4,131,9:5:0
26,324,3574,7,7,7,92,7,92,9:10:0
27,324,3574,8,8,8,114,8,114,9:15:0
28,324,3574,7,7,7,109,7,109,9:20:0
29,324,3574,4,4,4,145,4,145,9:25:0
30,324,3574,6,6,6,131,6,131,9:30:0
31,324,3574,9,9,9,111,9,111,9:35:0
32,324,3574,5,5,5,94,5,94,9:40:0
33,324,3574,10,10,10,95,10,95,9:45:0
34,324,3574,6,6,6,101,6,101,9:50:0
35,324,3574,5,5,5,116,5,116,9:55:0
36,324,3574,6,6,6,98,6,98,10:0:0
37,324,3574,5,5,5,64,5,64,10:5:0
38,324,3574,5,5,5,89,5,89,10:10:0
39,324,3574,5,5,5,109,5,109,10:15:0
40,324,3574,4,4,4,110,4,110,10:20:0
41,324,3574,15,15,15,280,15,280,10:25:0
42,324,3574,3,3,3,150,3,150,10:30:0
43,324,3574,5,5,5,92,5,92,10:35:0
44,324,3574,5,5,5,89,5,89,10:40:0
45,324,3574,7,7,7,97,7,97,10:45:0
46,324,3574,6,6,6,160,6,160,10:50:0
47,323,3559,4,4,4,57,4,57,10:55:0
48,325,3575,3,3,3,27,3,27,11:0:0
49,325,3575,3,3,3,40,3,40,11:5:0
50,325,3575,2,2,2,29,2,29,11:10:0
51,325,3575,2,2,2,36,2,36,11:15:0
52,325,3575,5,5,5,35,5,35,11:20:0
53,325,3575,4,4,4,65,4,65,11:25:0
54,325,3575,6,6,6,104,6,104,11:30:0
55,325,3575,4,4,4,86,4,86,11:35:0
56,325,3575,5,5,5,115,5,115,11:40:0
57,325,3575,7,7,7,140,7,140,11:45:0
58,325,3575,5,5,5,91,5,91,11:50:0
59,325,3575,5,5,5,77,5,77,11:55:0
60,325,3575,5,5,5,71,5,71,12:0:0
61,325,3575,4,4,4,93,4,93,12:5:0
62,325,3575,5,5,5,104,5,104,12:10:0
63,325,3575,5,5,5,118,5,118,12:15:0
64,325,3575,4,4,4,85,4,85,12:20:0
65,325,3575,4,4,4,76,4,76,12:25:0
66,325,3575,6,6,6,105,6,105,12:30:0
67,325,3575,3,3,3,103,3,103,12:35:0
68,325,3575,2,2,2,96,2,96,12:40:0
69,325,3575,12,12,12,213,12,213,12:45:0
