,timeSeconds,frameNum,blobCount,trackCount,person,personAccumulative,car,carAccumulative,motorbike,motorbikeAccumulative,bus,busAccumulative,truck,truckAccumulative,train,trainAccumulative,TOTAL,TOTALAccumulative,Time
0,325,3575,1,1,0,25,1,17,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1,47,7:0:0
1,325,3575,0,0,0,12,0,20,,,0.0,3.0,0.0,2.0,0.0,1.0,0,38,7:5:0
2,325,3575,0,0,0,19,0,19,,,0.0,2.0,0.0,3.0,,,0,43,7:10:0
3,325,3575,0,0,0,18,0,30,,,0.0,2.0,0.0,4.0,0.0,1.0,0,55,7:15:0
4,325,3575,0,0,0,27,0,34,,,0.0,3.0,0.0,1.0,0.0,5.0,0,70,7:20:0
5,325,3575,2,2,0,21,1,23,0.0,3.0,,,1.0,8.0,,,2,55,7:25:0
6,325,3575,1,1,1,26,0,30,0.0,1.0,0.0,3.0,,,,,1,60,7:30:0
7,325,3575,0,0,0,18,0,26,,,0.0,2.0,0.0,1.0,0.0,1.0,0,48,7:35:0
8,325,3575,0,0,0,26,0,36,,,0.0,1.0,0.0,2.0,0.0,1.0,0,66,7:40:0
9,325,3575,0,0,0,28,0,21,,,0.0,2.0,0.0,5.0,,,0,56,7:45:0
10,325,3575,0,0,0,22,0,23,0.0,2.0,0.0,2.0,0.0,1.0,,,0,50,7:50:0
11,325,3575,0,0,0,29,0,46,0.0,2.0,0.0,7.0,0.0,4.0,0.0,1.0,0,89,7:55:0
12,325,3575,2,2,0,18,2,45,0.0,1.0,0.0,5.0,0.0,6.0,0.0,1.0,2,76,8:0:0
13,325,3575,1,1,0,31,1,79,0.0,7.0,0.0,9.0,0.0,11.0,,,1,137,8:5:0
14,325,3575,2,2,0,29,2,126,,,0.0,9.0,0.0,9.0,,,2,173,8:10:0
15,325,3575,1,1,0,43,1,143,0.0,4.0,0.0,7.0,0.0,9.0,,,1,206,8:15:0
16,325,3575,1,1,0,44,1,96,0.0,13.0,0.0,9.0,0.0,7.0,,,1,169,8:20:0
17,325,3575,2,2,2,38,0,62,0.0,5.0,0.0,9.0,0.0,5.0,0.0,2.0,2,121,8:25:0
18,325,3575,7,7,4,91,3,68,0.0,19.0,0.0,3.0,0.0,4.0,,,7,185,8:30:0
19,325,3575,4,4,0,123,4,97,0.0,18.0,0.0,4.0,0.0,7.0,,,4,249,8:35:0
20,325,3575,6,6,1,83,5,85,0.0,10.0,0.0,2.0,0.0,2.0,,,6,182,8:40:0
21,325,3575,6,6,1,88,5,91,0.0,1.0,0.0,5.0,0.0,1.0,,,6,186,8:45:0
22,325,3575,9,9,1,78,7,130,1.0,11.0,0.0,4.0,0.0,5.0,,,9,228,8:50:0
23,320,3528,6,6,1,135,5,83,0.0,13.0,,,0.0,1.0,,,6,232,8:55:0
24,324,3574,11,11,2,73,9,152,0.0,8.0,0.0,4.0,0.0,8.0,0.0,1.0,11,246,9:0:0
25,324,3574,2,2,0,65,2,74,0.0,12.0,,,0.0,4.0,,,2,155,9:5:0
26,324,3574,5,5,1,47,4,72,0.0,1.0,0.0,2.0,0.0,4.0,,,5,126,9:10:0
27,324,3574,9,9,3,84,5,78,0.0,9.0,0.0,3.0,1.0,6.0,,,9,180,9:15:0
28,324,3574,6,6,0,28,5,80,0.0,3.0,0.0,1.0,1.0,9.0,,,6,121,9:20:0
29,324,3574,4,4,1,49,3,90,0.0,7.0,0.0,4.0,0.0,7.0,,,4,157,9:25:0
30,324,3574,7,7,2,49,4,78,1.0,16.0,0.0,4.0,0.0,10.0,,,7,157,9:30:0
31,324,3574,10,10,3,55,7,72,0.0,10.0,0.0,2.0,0.0,5.0,0.0,1.0,10,145,9:35:0
32,324,3574,6,6,1,53,4,60,1.0,9.0,0.0,2.0,0.0,5.0,,,6,129,9:40:0
33,324,3574,9,9,2,47,7,65,0.0,6.0,0.0,1.0,0.0,6.0,,,9,125,9:45:0
34,324,3574,4,4,0,59,4,77,0.0,7.0,,,0.0,4.0,0.0,1.0,4,148,9:50:0
35,324,3574,5,5,0,70,4,72,0.0,7.0,0.0,3.0,1.0,4.0,,,5,156,9:55:0
36,324,3574,8,8,3,72,5,77,0.0,6.0,0.0,3.0,,,0.0,1.0,8,159,10:0:0
37,324,3574,7,7,3,53,3,43,0.0,4.0,0.0,1.0,1.0,7.0,,,7,108,10:5:0
38,324,3574,5,5,1,88,4,59,0.0,10.0,,,0.0,3.0,,,5,160,10:10:0
39,324,3574,7,7,1,82,5,75,0.0,12.0,0.0,1.0,1.0,3.0,0.0,1.0,7,174,10:15:0
40,324,3574,6,6,2,68,4,65,0.0,11.0,0.0,2.0,0.0,6.0,0.0,1.0,6,153,10:20:0
41,324,3574,16,16,2,62,13,206,0.0,14.0,0.0,14.0,1.0,20.0,,,16,316,10:25:0
42,324,3574,6,6,1,105,4,113,1.0,20.0,0.0,8.0,0.0,19.0,,,6,265,10:30:0
43,324,3574,5,5,1,82,4,45,0.0,12.0,0.0,3.0,0.0,25.0,0.0,3.0,5,170,10:35:0
44,324,3574,5,5,0,55,4,58,0.0,9.0,0.0,3.0,1.0,13.0,,,5,138,10:40:0
45,324,3574,7,7,1,66,6,67,0.0,10.0,0.0,6.0,0.0,6.0,0.0,4.0,7,159,10:45:0
46,324,3574,6,6,0,55,6,99,0.0,6.0,0.0,8.0,0.0,6.0,0.0,3.0,6,177,10:50:0
47,323,3559,4,4,0,35,4,38,0.0,4.0,0.0,3.0,0.0,7.0,0.0,3.0,4,90,10:55:0
48,325,3575,3,3,0,52,3,18,0.0,2.0,,,0.0,2.0,0.0,2.0,3,76,11:0:0
49,325,3575,3,3,0,29,2,15,0.0,5.0,0.0,2.0,0.0,2.0,1.0,2.0,3,55,11:5:0
50,325,3575,4,4,1,28,1,9,0.0,5.0,0.0,2.0,0.0,1.0,2.0,3.0,4,48,11:10:0
51,325,3575,2,2,0,16,2,17,0.0,5.0,0.0,4.0,0.0,1.0,0.0,9.0,2,52,11:15:0
52,325,3575,7,7,3,22,2,18,0.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,7,48,11:20:0
53,325,3575,3,3,1,152,2,43,0.0,13.0,0.0,1.0,0.0,1.0,,,3,210,11:25:0
54,325,3575,4,4,1,75,3,57,0.0,7.0,0.0,7.0,,,,,4,146,11:30:0
55,325,3575,3,3,1,74,2,69,0.0,8.0,0.0,2.0,0.0,6.0,,,3,159,11:35:0
56,325,3575,5,5,0,108,5,57,0.0,23.0,0.0,2.0,0.0,6.0,,,5,196,11:40:0
57,325,3575,8,8,1,142,6,72,0.0,47.0,0.0,1.0,0.0,5.0,1.0,2.0,8,269,11:45:0
58,325,3575,4,4,0,96,4,49,0.0,14.0,,,0.0,4.0,0.0,3.0,4,166,11:50:0
59,325,3575,5,5,0,50,5,52,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,5,111,11:55:0
60,325,3575,4,4,0,72,3,42,0.0,9.0,0.0,1.0,0.0,3.0,1.0,1.0,4,128,12:0:0
61,325,3575,4,4,1,51,2,45,0.0,11.0,0.0,1.0,0.0,4.0,1.0,3.0,4,115,12:5:0
62,325,3575,7,7,2,49,5,50,0.0,13.0,0.0,2.0,0.0,8.0,0.0,1.0,7,123,12:10:0
63,325,3575,5,5,0,48,5,79,0.0,12.0,0.0,1.0,0.0,6.0,0.0,1.0,5,147,12:15:0
64,325,3575,4,4,0,29,3,45,0.0,3.0,,,0.0,7.0,1.0,3.0,4,87,12:20:0
65,325,3575,3,3,0,18,3,44,0.0,9.0,0.0,5.0,0.0,5.0,0.0,1.0,3,82,12:25:0
66,325,3575,5,5,0,58,4,62,0.0,12.0,0.0,4.0,0.0,5.0,1.0,3.0,5,144,12:30:0
67,325,3575,3,3,0,13,3,59,0.0,3.0,0.0,6.0,0.0,9.0,0.0,16.0,3,106,12:35:0
68,325,3575,3,3,0,26,2,48,0.0,6.0,0.0,4.0,0.0,12.0,1.0,26.0,3,122,12:40:0
69,325,3575,15,15,2,79,11,147,0.0,22.0,0.0,3.0,0.0,5.0,2.0,9.0,15,265,12:45:0
70,325,3575,2,2,0,60,1,63,0.0,5.0,0.0,8.0,0.0,16.0,1.0,11.0,2,163,12:50:0
71,325,3575,2,2,0,46,1,47,0.0,7.0,0.0,6.0,0.0,6.0,1.0,4.0,2,116,12:55:0
72,326,3586,3,3,0,16,3,35,0.0,2.0,0.0,3.0,0.0,6.0,0.0,1.0,3,63,13:0:0
73,326,3586,3,3,0,26,3,15,0.0,6.0,0.0,1.0,0.0,5.0,,,3,53,13:5:0
74,326,3586,4,4,0,16,3,23,0.0,3.0,0.0,2.0,1.0,5.0,,,4,49,13:10:0
75,326,3586,3,3,0,17,2,16,0.0,5.0,0.0,5.0,0.0,7.0,1.0,2.0,3,52,13:15:0
76,326,3586,3,3,0,21,2,9,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3,35,13:20:0
77,326,3586,3,3,0,27,3,11,0.0,8.0,0.0,4.0,,,0.0,1.0,3,51,13:25:0
78,326,3586,4,4,0,12,4,17,0.0,4.0,0.0,1.0,0.0,1.0,,,4,35,13:30:0
79,326,3586,3,3,0,17,3,9,0.0,2.0,0.0,3.0,,,0.0,2.0,3,33,13:35:0
80,326,3586,4,4,0,19,3,17,0.0,9.0,0.0,3.0,0.0,3.0,1.0,1.0,4,52,13:40:0
81,326,3586,4,4,0,14,3,27,0.0,1.0,0.0,2.0,0.0,1.0,1.0,5.0,4,50,13:45:0
82,326,3586,3,3,0,17,3,12,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,3,37,13:50:0
83,326,3586,0,0,0,56,0,26,0.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,0,95,13:55:0
84,326,3586,0,0,0,8,0,6,0.0,1.0,,,0.0,3.0,0.0,2.0,0,20,14:0:0
85,326,3586,0,0,0,17,0,6,0.0,5.0,0.0,4.0,,,0.0,1.0,0,33,14:5:0
86,326,3586,0,0,0,9,0,5,0.0,3.0,0.0,2.0,,,0.0,2.0,0,21,14:10:0
87,326,3586,0,0,0,17,0,17,0.0,3.0,0.0,1.0,0.0,1.0,,,0,39,14:15:0
88,326,3586,0,0,0,18,0,18,0.0,5.0,,,0.0,6.0,0.0,1.0,0,48,14:20:0
89,326,3586,1,1,0,14,0,10,1.0,2.0,0.0,3.0,0.0,3.0,,,1,32,14:25:0
90,326,3586,0,0,0,12,0,13,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0,32,14:30:0
91,326,3586,0,0,0,15,0,7,0.0,3.0,0.0,2.0,,,0.0,1.0,0,28,14:35:0
92,326,3586,0,0,0,16,0,18,0.0,3.0,,,0.0,1.0,,,0,38,14:40:0
93,326,3586,0,0,0,14,0,20,0.0,1.0,0.0,1.0,0.0,4.0,,,0,40,14:45:0
94,326,3586,0,0,0,14,0,9,0.0,4.0,,,0.0,1.0,0.0,1.0,0,29,14:50:0
95,322,3552,0,0,0,15,0,22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,41,14:55:0
96,325,3585,0,0,0,21,0,19,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0,45,15:0:0
97,325,3585,0,0,0,23,0,13,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0,44,15:5:0
98,325,3585,0,0,0,7,0,15,0.0,1.0,,,0.0,1.0,0.0,1.0,0,25,15:10:0
99,325,3585,1,1,0,11,1,19,0.0,3.0,0.0,1.0,,,0.0,1.0,1,35,15:15:0
100,325,3585,0,0,0,15,0,12,,,0.0,1.0,0.0,3.0,0.0,1.0,0,32,15:20:0
101,325,3585,1,1,0,23,1,18,0.0,3.0,0.0,1.0,0.0,2.0,,,1,47,15:25:0
102,325,3585,0,0,0,12,0,15,0.0,1.0,,,0.0,1.0,,,0,29,15:30:0
103,325,3585,5,5,4,55,1,23,,,,,0.0,2.0,0.0,2.0,5,82,15:35:0
104,325,3585,8,8,6,106,2,46,0.0,2.0,0.0,6.0,0.0,4.0,0.0,8.0,8,172,15:40:0
105,325,3585,8,8,3,125,5,112,0.0,11.0,0.0,2.0,0.0,11.0,0.0,3.0,8,264,15:45:0
106,325,3585,8,8,1,95,7,121,0.0,10.0,0.0,2.0,0.0,8.0,0.0,1.0,8,237,15:50:0
107,325,3585,11,11,3,72,6,148,0.0,16.0,0.0,4.0,2.0,9.0,0.0,4.0,11,253,15:55:0
108,325,3585,8,8,4,59,4,88,0.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,8,161,16:0:0
109,325,3585,10,10,2,74,7,135,0.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,10,218,16:5:0
110,325,3585,10,10,4,87,6,135,0.0,6.0,0.0,3.0,0.0,3.0,0.0,1.0,10,235,16:10:0
111,325,3585,11,11,4,61,6,147,1.0,8.0,0.0,1.0,0.0,3.0,,,11,220,16:15:0
112,325,3585,13,13,2,86,9,144,1.0,7.0,0.0,1.0,1.0,6.0,,,13,244,16:20:0
113,325,3585,14,14,5,145,8,184,1.0,19.0,0.0,3.0,0.0,8.0,,,14,359,16:25:0
114,325,3585,13,13,4,143,7,170,1.0,5.0,0.0,2.0,0.0,12.0,1.0,2.0,13,334,16:30:0
115,325,3585,8,8,3,289,4,143,1.0,42.0,0.0,3.0,0.0,8.0,,,8,485,16:35:0
116,325,3585,9,9,5,197,4,159,0.0,33.0,0.0,5.0,0.0,16.0,,,9,410,16:40:0
117,325,3585,10,10,6,158,3,129,1.0,23.0,0.0,2.0,,,0.0,3.0,10,315,16:45:0
118,325,3585,8,8,3,135,4,112,1.0,30.0,0.0,1.0,0.0,1.0,,,8,279,16:50:0
119,325,3585,8,8,5,111,2,90,1.0,16.0,,,,,0.0,5.0,8,222,16:55:0
