,timeSeconds,frameNum,blobCount,trackCount,car,carAccumulative,person,personAccumulative,bus,busAccumulative,truck,truckAccumulative,train,trainAccumulative,TOTAL,TOTALAccumulative,motorbike,motorbikeAccumulative,Time
0,325,3579,1,1,0,15,1,28,0.0,2.0,0.0,2.0,0.0,2.0,1,49,,,7:0:0
1,325,3579,0,0,0,11,0,22,0.0,2.0,0.0,4.0,0.0,1.0,0,41,0.0,1.0,7:4:55
2,325,3579,0,0,0,11,0,17,0.0,2.0,0.0,3.0,0.0,1.0,0,34,,,7:9:50
3,325,3579,1,1,0,12,1,23,0.0,2.0,,,,,1,37,,,7:14:45
4,325,3579,0,0,0,11,0,8,0.0,1.0,0.0,1.0,0.0,1.0,0,22,,,7:19:40
5,325,3579,0,0,0,13,0,9,0.0,3.0,0.0,5.0,,,0,30,,,7:24:35
6,325,3579,0,0,0,14,0,24,0.0,4.0,0.0,6.0,0.0,1.0,0,49,,,7:29:30
7,325,3579,0,0,0,12,0,31,0.0,1.0,0.0,1.0,0.0,1.0,0,46,,,7:34:25
8,325,3579,0,0,0,15,0,17,0.0,2.0,0.0,2.0,,,0,36,,,7:39:20
9,325,3579,0,0,0,7,0,24,,,0.0,4.0,0.0,1.0,0,36,,,7:44:15
10,325,3579,0,0,0,34,0,37,0.0,6.0,0.0,17.0,,,0,96,0.0,2.0,7:49:10
11,325,3579,4,4,3,203,0,117,0.0,29.0,1.0,20.0,0.0,1.0,4,377,0.0,7.0,7:54:5
12,325,3579,2,2,2,79,0,46,0.0,2.0,0.0,5.0,0.0,1.0,2,136,0.0,3.0,7:59:0
13,325,3579,3,3,3,77,0,56,0.0,3.0,,,,,3,137,0.0,1.0,8:0:56
14,325,3579,5,5,4,78,1,51,0.0,2.0,0.0,1.0,,,5,137,0.0,5.0,8:5:51
15,325,3579,2,2,2,84,0,43,0.0,1.0,0.0,3.0,0.0,1.0,2,133,0.0,1.0,8:10:46
16,325,3579,5,5,4,85,1,55,0.0,2.0,0.0,2.0,,,5,145,0.0,1.0,8:15:41
17,325,3579,3,3,3,112,0,41,0.0,3.0,0.0,1.0,,,3,157,,,8:20:36
18,325,3579,8,8,3,75,4,138,0.0,2.0,0.0,2.0,1.0,9.0,8,226,,,8:25:31
19,325,3579,6,6,5,77,0,72,1.0,5.0,0.0,10.0,0.0,13.0,6,177,,,8:30:26
20,325,3579,5,5,4,74,0,64,0.0,13.0,1.0,11.0,,,5,162,,,8:35:21
21,325,3579,3,3,3,64,0,111,0.0,5.0,0.0,9.0,,,3,190,0.0,1.0,8:40:16
22,325,3579,3,3,3,81,0,57,0.0,1.0,0.0,6.0,0.0,3.0,3,148,,,8:45:11
23,325,3579,3,3,3,50,0,84,0.0,2.0,0.0,7.0,0.0,2.0,3,147,0.0,2.0,8:50:6
24,325,3579,1,1,1,38,0,58,,,0.0,6.0,,,1,103,0.0,1.0,8:55:1
25,325,3579,4,4,3,70,1,90,0.0,2.0,0.0,8.0,0.0,1.0,4,172,0.0,1.0,8:59:57
26,325,3579,4,4,2,59,0,123,1.0,3.0,1.0,16.0,0.0,1.0,4,209,0.0,7.0,9:0:52
27,325,3579,2,2,1,78,1,127,0.0,8.0,0.0,16.0,0.0,3.0,2,235,0.0,3.0,9:5:47
28,325,3579,2,2,2,44,0,20,0.0,1.0,0.0,8.0,0.0,2.0,2,78,0.0,3.0,9:10:42
29,325,3579,4,4,2,88,2,64,0.0,3.0,0.0,12.0,0.0,1.0,4,169,0.0,1.0,9:15:37
30,325,3579,2,2,1,26,1,46,0.0,1.0,0.0,5.0,0.0,3.0,2,82,0.0,1.0,9:20:32
