,timeSeconds,frameNum,blobCount,trackCount,car,carAccumulative,person,personAccumulative,truck,truckAccumulative,bus,busAccumulative,TOTAL,TOTALAccumulative,motorbike,motorbikeAccumulative,train,trainAccumulative,Time
0,325,3576,0,0,0,8,0,10,0.0,1.0,0.0,1.0,0,20,,,,,7:0:0
1,325,3576,0,0,0,8,0,9,0.0,3.0,0.0,1.0,0,21,,,,,7:5:0
2,325,3576,0,0,0,6,0,14,0.0,2.0,0.0,2.0,0,25,0.0,1.0,,,7:10:0
3,325,3576,1,1,1,10,0,21,0.0,2.0,0.0,3.0,1,36,,,,,7:15:0
4,325,3576,0,0,0,11,0,15,0.0,2.0,,,0,29,,,0.0,1.0,7:20:0
5,325,3576,0,0,0,10,0,11,0.0,3.0,0.0,1.0,0,25,,,,,7:25:0
6,325,3576,0,0,0,4,0,17,,,0.0,1.0,0,22,,,,,7:30:0
7,325,3576,1,1,1,8,0,20,0.0,2.0,0.0,1.0,1,31,,,,,7:35:0
8,325,3576,0,0,0,3,0,6,0.0,2.0,0.0,3.0,0,17,0.0,3.0,,,7:40:0
9,325,3576,0,0,0,12,0,14,0.0,4.0,0.0,1.0,0,32,0.0,1.0,,,7:45:0
10,325,3576,0,0,0,16,0,11,0.0,3.0,,,0,30,,,,,7:50:0
11,325,3576,0,0,0,9,0,4,0.0,6.0,0.0,2.0,0,24,0.0,2.0,0.0,1.0,7:55:0
12,325,3576,0,0,0,22,0,18,0.0,1.0,0.0,1.0,0,43,0.0,1.0,,,8:0:0
13,325,3576,0,0,0,13,0,19,0.0,2.0,,,0,36,0.0,2.0,,,8:5:0
14,325,3576,0,0,0,31,0,38,0.0,10.0,0.0,2.0,0,81,,,,,8:10:0
15,325,3576,0,0,0,44,0,45,0.0,3.0,0.0,5.0,0,101,0.0,4.0,,,8:15:0
16,325,3576,1,1,1,46,0,48,0.0,2.0,0.0,6.0,1,109,0.0,7.0,,,8:20:0
17,325,3576,0,0,0,57,0,33,0.0,5.0,0.0,11.0,0,112,0.0,4.0,0.0,2.0,8:25:0
18,325,3576,0,0,0,34,0,33,0.0,8.0,0.0,2.0,0,78,0.0,1.0,,,8:30:0
19,325,3576,4,4,2,28,2,31,0.0,5.0,0.0,1.0,4,69,0.0,4.0,,,8:35:0
20,325,3576,1,1,0,26,1,44,0.0,5.0,0.0,2.0,1,84,0.0,7.0,,,8:40:0
21,325,3576,3,3,2,30,1,138,0.0,3.0,0.0,4.0,3,194,0.0,19.0,,,8:45:0
22,325,3576,1,1,0,42,1,61,0.0,3.0,0.0,7.0,1,129,0.0,14.0,0.0,2.0,8:50:0
23,325,3576,1,1,0,26,0,64,0.0,3.0,0.0,4.0,1,108,1.0,10.0,0.0,1.0,8:55:0
24,325,3576,1,1,0,26,1,43,0.0,4.0,0.0,5.0,1,87,0.0,7.0,0.0,2.0,9:0:0
25,325,3576,0,0,0,35,0,65,0.0,6.0,0.0,2.0,0,114,0.0,2.0,0.0,4.0,9:5:0
26,325,3576,0,0,0,30,0,52,0.0,5.0,0.0,3.0,0,96,0.0,3.0,0.0,3.0,9:10:0
27,325,3576,2,2,0,23,1,71,0.0,3.0,1.0,6.0,2,114,0.0,6.0,0.0,5.0,9:15:0
28,325,3576,0,0,0,20,0,73,0.0,4.0,0.0,4.0,0,104,0.0,1.0,0.0,2.0,9:20:0
29,325,3576,1,1,1,9,0,27,0.0,1.0,0.0,2.0,1,41,0.0,1.0,0.0,1.0,9:25:0
30,325,3576,4,4,1,35,3,25,0.0,2.0,0.0,4.0,4,70,0.0,1.0,0.0,3.0,9:30:0
31,325,3576,0,0,0,29,0,145,0.0,4.0,0.0,6.0,0,189,0.0,1.0,0.0,4.0,9:35:0
32,325,3576,0,0,0,37,0,74,0.0,6.0,0.0,4.0,0,136,0.0,14.0,0.0,1.0,9:40:0
33,325,3576,2,2,2,36,0,52,0.0,6.0,0.0,2.0,2,112,0.0,11.0,0.0,5.0,9:45:0
34,325,3576,1,1,1,33,0,53,0.0,1.0,0.0,4.0,1,101,0.0,2.0,0.0,8.0,9:50:0
35,325,3576,1,1,0,36,1,58,0.0,1.0,0.0,5.0,1,117,0.0,16.0,0.0,1.0,9:55:0
36,325,3576,3,3,0,41,3,66,0.0,2.0,0.0,2.0,3,125,0.0,14.0,,,10:0:0
37,325,3576,0,0,0,36,0,65,0.0,5.0,0.0,5.0,0,144,0.0,33.0,,,10:5:0
38,325,3576,0,0,0,39,0,61,0.0,6.0,0.0,2.0,0,126,0.0,13.0,0.0,5.0,10:10:0
39,325,3576,2,2,2,57,0,61,0.0,1.0,0.0,4.0,2,134,0.0,10.0,0.0,1.0,10:15:0
40,325,3576,0,0,0,41,0,23,0.0,4.0,0.0,3.0,0,74,,,0.0,3.0,10:20:0
41,325,3576,0,0,0,24,0,27,0.0,4.0,0.0,2.0,0,61,0.0,3.0,0.0,1.0,10:25:0
42,325,3576,0,0,0,42,0,21,0.0,4.0,0.0,11.0,0,83,0.0,5.0,,,10:30:0
43,325,3576,2,2,1,33,1,48,0.0,2.0,0.0,3.0,2,94,0.0,7.0,0.0,1.0,10:35:0
44,325,3576,0,0,0,23,0,38,0.0,1.0,0.0,1.0,0,76,0.0,12.0,0.0,1.0,10:40:0
45,325,3576,1,1,1,34,0,28,0.0,3.0,0.0,5.0,1,77,0.0,6.0,0.0,1.0,10:45:0
46,325,3576,7,7,7,159,0,142,0.0,9.0,0.0,11.0,7,353,0.0,32.0,,,10:50:0
47,325,3576,0,0,0,90,0,69,0.0,9.0,0.0,9.0,0,199,0.0,19.0,0.0,3.0,10:55:0
48,325,3576,1,1,1,36,0,22,0.0,6.0,0.0,2.0,1,71,0.0,4.0,0.0,1.0,11:0:0
49,325,3576,0,0,0,27,0,34,0.0,6.0,0.0,3.0,0,74,0.0,3.0,0.0,1.0,11:5:0
50,325,3576,1,1,1,52,0,23,0.0,5.0,0.0,7.0,1,89,0.0,1.0,0.0,1.0,11:10:0
51,325,3576,1,1,1,66,0,65,0.0,9.0,0.0,10.0,1,170,0.0,18.0,0.0,2.0,11:15:0
52,325,3576,0,0,0,79,0,92,0.0,12.0,0.0,8.0,0,200,0.0,8.0,0.0,1.0,11:20:0
53,325,3576,4,4,3,68,0,77,1.0,11.0,0.0,6.0,4,174,0.0,12.0,,,11:25:0
54,325,3576,0,0,0,58,0,46,0.0,7.0,0.0,10.0,0,129,0.0,8.0,,,11:30:0
55,325,3576,1,1,1,49,0,39,0.0,6.0,0.0,5.0,1,115,0.0,16.0,,,11:35:0
56,325,3576,1,1,0,47,1,52,0.0,3.0,0.0,8.0,1,128,0.0,18.0,,,11:40:0
57,325,3576,2,2,2,52,0,55,0.0,5.0,0.0,9.0,2,146,0.0,25.0,,,11:45:0
58,325,3576,2,2,0,40,1,88,1.0,5.0,0.0,8.0,2,157,0.0,12.0,0.0,4.0,11:50:0
59,325,3576,2,2,1,38,1,73,0.0,7.0,0.0,6.0,2,138,0.0,12.0,0.0,2.0,11:55:0
60,325,3585,0,0,0,52,0,46,0.0,4.0,0.0,3.0,0,117,0.0,12.0,,,12:0:0
61,325,3585,2,2,2,48,0,52,,,0.0,5.0,2,119,0.0,5.0,0.0,9.0,12:5:0
62,325,3585,1,1,1,39,0,53,0.0,5.0,0.0,9.0,1,124,0.0,16.0,0.0,2.0,12:10:0
63,325,3585,0,0,0,30,0,19,0.0,3.0,0.0,3.0,0,60,0.0,4.0,0.0,1.0,12:15:0
64,325,3585,0,0,0,35,0,16,,,0.0,3.0,0,58,0.0,3.0,0.0,1.0,12:20:0
65,325,3585,1,1,1,60,0,17,0.0,4.0,0.0,2.0,1,89,0.0,5.0,0.0,1.0,12:25:0
66,325,3585,0,0,0,27,0,12,0.0,2.0,0.0,3.0,0,49,0.0,4.0,0.0,1.0,12:30:0
67,325,3585,0,0,0,16,0,8,0.0,1.0,0.0,1.0,0,31,0.0,4.0,0.0,1.0,12:35:0
68,325,3585,0,0,0,37,0,24,0.0,3.0,0.0,1.0,0,72,0.0,7.0,,,12:40:0
69,325,3585,0,0,0,42,0,21,0.0,3.0,0.0,1.0,0,70,0.0,3.0,,,12:45:0
70,325,3585,0,0,0,22,0,12,0.0,1.0,,,0,38,0.0,3.0,,,12:50:0
